To nie bajka, diderot
Bezgrzeszne lata, makuszyñski
Ofelia, pawlikowska-jasnorzewska
Profesor Hieronimus, skram
Granica, na³kowska
Marzenie o Oriencie, elkan
Milosc, pawlikowska-jasnorzewska
brASHyt Bereszit Ksiega Rodzaju, None
Pawilon wsrod wydm, stevenson
Na dziwny a niespodziewany odjazd poety Konstantego, ga³czyñski
Matka Boska Stalagow, ga³czyñski
Ballada o samotnej pompie, ga³czyñski
Pomnik studenta, ga³czyñski
Serwus madonna, ga³czyñski
Dzikie wino, ga³czyñski
Buty szewca Szymona, ga³czyñski
Spotkanie z matka, ga³czyñski
Falszywy adres, ga³czyñski
Farlandia, ga³czyñski
Wizyta, ga³czyñski
Ulica szarlatanow, ga³czyñski
Prosba o wyspy szczesliwe, ga³czyñski
O naszym gospodarstwie, ga³czyñski
O mej poezji, ga³czyñski
Ars Poetica czyli Sztuka rymotworcza, ga³czyñski
Muzie nozki caluje, ga³czyñski
Male kina, ga³czyñski
Liryka liryka tkliwa dynamika, ga³czyñski
Chryzostoma Bulwiecia podroz do Ciemnogrodu, ga³czyñski
Charmides, platon
Historia podrozy Skarmentada, wolter)
Medaliony, na³kowska
Kochanek Lady Chatterley, lawrence
Zosia Samosia i inne wiersze dla dzieci, tuwim
Opowiadania chasydzkie i ludowe, perec
Tajemniczy opiekun, webster
Kolczyki Izoldy, ga³czyñski
Genesis Ksiega Rodzaju Bereszit, None
Kronika olsztynska, ga³czyñski
Bal u Salomona, ga³czyñski
Skandal w Bohemii, doyle
Legenda starego dworu, lagerlöf
Szalenstwa panny Ewy, makuszyñski
Wampir, reymont
Laka tom, leœmian
Porfirion Osielek czyli Klub Swietokradcow, ga³czyñski
W matni, nachalnik
Galeotto, eizaguirre
O dwoch takich co ukradli ksiezyc, makuszyñski
Bal w operze, tuwim
Lochy Watykanu, gide
Rozpruwacze, nachalnik
Piesn o zolnierzach z Westerplatte, ga³czyñski
Dworek w Hampshire, doyle
Prokurator Alicja Horn, do³êga-mostowicz
Sen, kafka
Panna z mokra glowa, makuszyñski
Opowiadania z mitologii Grekow i Rzymian, zipper
Rozmowy przez telefon, benedictsson
Sherlock Holmes w Warszawie, belmont
Kupiec wenecki, (szekspir)
Bracia, plaut
Pani Marta Oulie, undset
Skumbrie w tomacie i inne wiersze, ga³czyñski
Pamietnik Ewy, twain
Zdarzylo sie po drodze, krusenstjerna
Ordynat Michorowski, mniszkówna
Cetkowana wstega, doyle
Szalenstwo Almayera, conrad
Oda do radosci, schiller
Lata wedrowki Wilhelma Meistra czyli wyrzekajacy sie, goethe
Matka, tuwim
Przedwczesny pogrzeb, poe
Biale i czarne, wolter)
Parmenides, platon
Ozymandias, shelley
Szatan z siodmej klasy, makuszyñski
Do Justyny Tesknosc na wiosne, karpiñski
Ogniem i mieczem powiesc z dawnych lat Henryka Sienkiewicza, prus
Deklaracja Praw Kobiety i Obywatelki, gouges
Ludozerstwo w wagonach, twain
Diament radzy, stevenson
Czlowiek o czterdziestu talarach, wolter)
Maz i zona, fredro
Polityk, platon
Pasaz, brzeska
Lokomotywa i inne wiersze dla dzieci, tuwim
Zaczarowana dorozka, ga³czyñski
Awantura o Basie, makuszyñski
Damy i huzary, fredro
Niech nam sie zdaje, brzeska
Ulica zydowska, szpigelman
Dziennik podrozy do Tatrow, goszczyñski
Z pamietnikow chlopskich Pamietnik nr 3, nieznana
Z pamietnikow bezrobotnych Pamietnik nr 4, nieznana
Z pamietnikow bezrobotnych Pamietnik nr 27, nieznana
Zydowki, nieznana
Wiosenny wieczor, fogelbaum
Wyrzut sumienia, brzeska
To bylo dobre miejsce, brzeska
